,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.833636644552639e-13,1.1713584186517097e-13,3.177896973592611e-13,1.336007895194769e-13,8.271401402822206e-13,2.0994159944920106e-14,1.2479289292087227e-13,1.2525696247933785e-14,1.2342121232867531e-12,1.0401634822517053e-12,1.9689643197386885e-13,2.5856705070491014e-13,3.88943340056069e-13,1.988995413813926e-13,1.7618447469905505e-15,1.991961338838204e-14,3.667525731657114e-13,3.7912453866387845e-14,2.3834610350898823e-16,6.150025422283741e-13,3.0596406292679825e-15,5.2290429522536327e-17,8.622909446881341e-14,1.0897962986735516e-13
1,1.3207553121186396e-13,1.2978542458392576e-13,4.241138178590904e-14,3.439359530120101e-13,5.046726472314448e-13,7.713080945575349e-13,3.6231714953354186e-13,4.1782401725988767e-13,1.1820560228409383e-13,4.102872058026151e-13,3.1139304455417373e-13,1.4623165478258394e-13,6.390624169585053e-13,4.2591312640109996e-15,4.498388538256702e-13,5.683312942428096e-13,4.47407226959026e-14,1.1002553516052205e-13,1.726797443581684e-13,8.59468327536596e-14,3.7745125430243044e-14,2.7902244905256423e-14,4.911824599776717e-13,5.018657963599674e-13
2,4.1524052370945224e-13,2.787700511409184e-13,1.4478102625163665e-13,2.7805164880229044e-13,7.390348642159645e-15,5.086568632652836e-13,4.435541174149272e-14,3.139515249252231e-13,2.60981903178209e-13,3.120606791590866e-13,3.2343623257556807e-13,2.1466176104446522e-13,5.100537255379649e-14,2.902333935293916e-13,9.358345078707566e-14,8.39824315493762e-14,1.140000122924723e-13,1.0860332594427804e-15,1.1213866574107971e-13,1.4890116638307387e-14,1.9424900613776197e-13,2.2542296731031434e-13,3.140399781395716e-13,2.1076543942428556e-13
3,2.272437797665334e-13,2.2306908415418557e-13,1.2886389384457788e-14,4.784674451538108e-13,6.769224322727187e-13,3.456094434771132e-14,5.74863778733469e-14,1.272733974562382e-13,4.0271319194781784e-14,7.727774532613703e-14,7.14689429211195e-14,7.417747614536574e-13,1.4805290721124407e-13,5.291183836490782e-13,5.934611473959553e-13,3.717354640158637e-14,2.7854935793942774e-13,3.129696659647147e-13,5.640447182653726e-13,2.076626329191371e-13,1.3020920952757742e-14,4.290357601728125e-13,2.9385082518221805e-17,4.722062832667879e-13
4,3.975834938422787e-13,3.3380391357617923e-13,4.741315510935908e-13,2.5172720360672902e-14,1.1321442685188676e-14,2.76150450345186e-13,3.875923569655145e-13,6.202864605416587e-14,1.5886791205262778e-14,1.389105238574748e-13,1.1553859657317417e-13,7.511066347655729e-14,2.866321754063826e-13,3.9607672609106086e-13,1.3149644090597345e-14,1.6694093349243451e-13,1.6033947578511495e-15,1.0157721673258825e-13,1.8876132240623994e-13,1.3558594097522114e-14,2.0879831346897707e-13,1.808024830108943e-15,4.3949399913630764e-13,1.395180264419121e-13
5,1.4056626296896889e-13,1.8295124010551976e-14,2.441843241265708e-14,4.6023984575373843e-14,3.480939632181044e-13,5.074812551242394e-13,5.58280507887462e-14,8.583193517914082e-15,1.7711784123885054e-16,3.109987183739336e-13,1.5372189819645604e-17,5.853727360035729e-13,2.633751742872418e-13,7.893380069308571e-14,3.3243262509800235e-14,9.578619041931585e-15,5.2302900216777264e-14,4.1428140256906255e-14,4.9318774039868233e-14,9.503551043089585e-15,2.4171645050451508e-14,9.070495367953344e-14,3.733030898693663e-13,8.613824816803961e-13
