,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.7360274491921316e-13,1.9401079406013833e-13,1.1604912910670513e-13,2.470539656685706e-13,2.2736990716492592e-13,3.530883387285257e-13,5.876818258299634e-17,7.243225520616913e-13,1.807063759119042e-13,4.864148957237683e-13,7.19138642804037e-14,4.516451740356393e-13,1.9530531239519656e-13,1.53457091955861e-13,9.612456291853807e-14,2.4125869391879945e-13,5.0853178124776e-14,4.2615971440737965e-13,7.686123076422655e-14,1.7654985616153669e-15,6.658221573993241e-13,3.663125287913981e-13,2.3055067553264055e-13,4.528644163545069e-14
1,5.868993679204967e-14,3.623286792446617e-13,6.371088795016089e-13,9.12311187727009e-13,2.370028230807712e-14,5.419368733966514e-13,3.909345642071e-16,3.7121256841060385e-14,2.6685127314974676e-13,1.76443116994456e-14,4.8618332121404465e-14,1.4399822287964617e-13,9.502071546407137e-14,3.5537061117710846e-13,1.8748694916168617e-13,1.2703617693558796e-13,5.069316833079426e-13,3.127629178510767e-14,7.707053670790623e-14,4.6796016445241814e-15,5.448922922936599e-13,1.127291333341636e-13,3.6721870360670274e-13,5.241500259544377e-15
2,1.0758310652384477e-14,7.571887668057667e-13,2.5733529746200907e-14,4.598318350366557e-14,7.143012111903803e-15,2.8975573649773526e-13,3.86490090140126e-16,4.873718301009866e-13,1.0493730740004645e-13,6.536626729685899e-14,5.041155341048244e-14,8.037406481183526e-16,1.3233708030532647e-13,3.3078671771478e-13,6.040812698231388e-13,1.6329236029378774e-13,3.135441374389158e-13,4.224778292631375e-14,3.0622211613699036e-14,7.455190562079947e-13,8.94675572723e-14,1.993164159007312e-14,9.230936382932067e-15,7.940117602197414e-13
3,3.0906431954057814e-13,8.631507589064978e-14,6.285791886072241e-13,1.1101856573222515e-13,8.373741531130097e-13,5.329311418297923e-13,1.4184102470914473e-14,1.7898936924239162e-13,9.128052303388765e-14,1.0471421234657837e-13,1.983127716519406e-15,1.8178600638309862e-13,1.8410275410738251e-13,4.504799923611982e-13,3.8587014886348184e-13,3.2726288813193894e-13,3.127160088011339e-13,2.910207820968142e-13,1.6137124449807812e-13,5.084819334332953e-14,3.185461715064399e-13,1.1195946895891619e-13,2.6184842234087605e-13,5.308532629876937e-15
4,2.675613713678544e-13,7.884960496676808e-13,4.4576535147442947e-13,1.6247806079162136e-14,4.20573946474638e-13,1.64103669837864e-13,2.5495564817097035e-13,8.569993634655076e-13,6.052072657912108e-13,5.705808449393161e-14,1.955496665732299e-14,6.523215936687446e-14,2.1358726878449464e-14,2.4131382327101544e-15,6.420933522851593e-13,5.797901403420399e-13,9.349344175356904e-14,2.2113602079517405e-13,1.4274091613526253e-13,1.9872997646934758e-13,7.849680517039564e-15,6.401024910317285e-13,8.344632865467884e-14,2.6208519104134003e-13
5,6.016455281747365e-13,1.630981131174948e-13,1.5277953675023627e-13,7.631867188623072e-14,2.5546314997155967e-14,2.294513476391228e-13,3.052091481241022e-13,1.2311029394804084e-15,2.7595301114742447e-13,3.463551887329586e-14,1.563593153728837e-13,4.7232985660360705e-14,1.7723601216267692e-13,2.8230458988939863e-13,9.398647100083734e-14,1.733954317093887e-13,1.702773715672294e-13,2.004911323901264e-13,5.862078735876409e-14,7.53000137334391e-14,3.2111002160223794e-13,4.858717369020911e-14,9.158449080575767e-13,2.3102236872502502e-15
