,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
2,12.0,12.0,12.0,12.0,12.0,12.0,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,7.7894736842105265,3.578947368421053
