,0
0,1090.1244371704965
1,1090.1122737001674
2,1090.0546310853797
3,1090.040835882096
4,1088.2564857988134
5,1088.1970145279188
6,1088.1422675110073
7,1088.08629523117
8,1086.660359628266
9,1086.5637826861907
10,1086.4572200508592
11,1086.3489084484895
12,1086.3098975898397
13,1086.2870957976431
14,1085.817026727374
15,1085.6158097743796
16,1085.599468946588
17,1085.1667654438058
18,1084.60263748338
19,1084.2375217101473
20,1082.9754331975091
21,1082.802474479152
22,1082.717951864452
23,1082.6655220362231
24,1082.5230908751587
25,1082.311304886628
26,1082.046403903282
27,1081.3655620767256
28,1081.3328301672404
29,1080.5188423070952
30,1080.1638049270387
31,1079.887140642346
32,1079.2336557583978
33,1078.554040433774
34,1078.1841957783377
35,1077.7230491329128
36,1077.7022596196423
37,1076.9684997673078
38,1076.8327179850578
39,1075.855670063788
40,1074.7321093402036
41,1074.137754966911
42,1073.4473078940227
43,1073.1654011443563
44,1071.8094171672758
45,1068.7574803323648
46,1067.5646796320182
47,1067.2383057263905
48,1067.1507186386345
49,1067.1492576742585
50,1066.0631193355612
51,1065.9994615992102
52,1065.1585651984276
53,1063.7010094618765
54,1062.974321048036
55,1059.3998590382623
56,1058.3863275116066
57,1057.0961612333147
58,1056.8274999036946
59,1056.531838370442
60,1054.4698882430332
61,1054.2666677340608
62,1053.835281838615
63,1053.3254224851917
64,1053.3063660524492
65,1051.1622499439463
66,1051.1162527028014
67,1051.1115065866754
68,1050.9012240164382
69,1050.5850267919889
70,1050.5837691381691
71,1050.5036137458364
72,1050.1276490452292
73,1047.6340090088077
74,1047.3038658767787
75,1047.094218268817
76,1046.4620909408056
77,1045.5647594904258
78,1044.6667037683874
79,1044.4526969626781
80,1044.3693378778587
81,1044.0837798706111
82,1038.1144700767416
83,1037.432866741782
84,1036.923697814776
85,1036.4816361941062
86,1035.530530672524
87,1032.9687250345219
88,1031.897649006645
89,1031.8676174638363
90,1030.9819996472497
91,1030.4102842464927
92,1028.5890613261115
93,1028.5812324476108
94,1027.9481994542493
95,1027.3343171882327
96,1026.7681412031327
97,1026.23851470508
98,1024.1564636706833
99,1023.3379421742591
100,1021.1043634206163
101,1019.736280277774
102,1017.9805325849002
103,1017.8718397410203
104,1016.7841082261606
105,1013.35811278116
106,1011.1646860416074
107,1010.3332623490818
108,1009.5302359240184
109,1008.0826393242094
110,1007.8838160503494
111,1007.8289082188296
112,1007.5382506709976
113,1007.4345813665406
114,1001.863678695951
115,999.4158923948818
