,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0544797427144878e-09,3.1019356428696845e-09,3.769838303178479e-10,5.3400358560466316e-11,5.139215088182727e-10,8.112599701039645e-10,1.309486583573527e-09,3.293662150862289e-12,3.6285390254893575e-10,1.2177859955384315e-11,1.2252408857254669e-09,5.255981057157889e-10,1.0809531690941355e-10,8.627354784493853e-10,2.2435632399382025e-10,2.930748783406146e-09,9.083829359563123e-10,4.701437903658794e-10,4.5383664300041743e-10,3.538876936663642e-10,1.6601156511072314e-10,1.1382326610724223e-11,1.4680717605780862e-09,2.8759746482668105e-10
1,1.7020055736757034e-11,3.6026745050565106e-10,3.753071101856951e-11,8.135387773987614e-11,9.379357454073645e-12,1.495352508185164e-09,4.842292473700541e-10,6.443395277771885e-11,1.097234542051316e-09,6.516999798342788e-11,1.4178780899076327e-10,4.4731708815272974e-11,1.8067473884175354e-09,2.926122754084719e-10,3.0138075378456143e-12,3.236422591448439e-10,3.7615411816201e-10,1.1956753659643171e-09,4.327169089850693e-08,2.3742260143653018e-12,1.6841080170217583e-09,4.7697141216808186e-11,1.432582242582911e-10,2.4051449693847217e-10
2,3.5270729148625612e-09,1.0222593257314542e-11,1.7061912334820213e-09,1.3340734398161415e-10,6.400476609197429e-10,1.5155241186492637e-10,9.159550430732192e-12,5.517126353741505e-10,4.97894826058812e-11,3.3005341553202525e-11,2.2824965910049805e-10,8.253894688377235e-13,7.938124585974813e-10,1.7206230482089627e-10,5.427924847796318e-10,9.29339340994799e-11,1.9518544392985315e-11,5.995297343179679e-11,2.8648932957312615e-09,5.991845375273021e-11,4.619250381581848e-10,2.8769094101562665e-11,1.0042007613613739e-10,1.6298126545966749e-10
3,7.239756440551625e-10,2.0796520575323784e-11,6.816342920970342e-10,1.2731611352956127e-08,1.2728698936666639e-10,8.986873277017253e-11,4.817022268768684e-11,1.529825965275741e-11,2.8945500408165382e-11,1.3933355707070442e-09,2.607354341598723e-09,1.035853130388272e-09,2.913521505865139e-10,5.139320280210996e-10,1.4738731454942898e-10,2.028076820340732e-09,2.6270093475688113e-10,1.4407616348218927e-10,4.871024857536971e-09,7.166581338873443e-09,3.162568380500974e-09,8.039854726597907e-10,2.572869114335518e-09,8.560014647734187e-12
4,1.6685189157790982e-10,4.076512394799684e-10,1.3041671362289826e-09,3.137716038559918e-09,2.0297534395704288e-11,1.6506929489691033e-09,5.384783137671242e-09,1.246326993960191e-09,1.6492151303860242e-10,1.1640453788810472e-09,1.3232936544469954e-09,4.050301230049019e-10,1.4738482220874365e-10,1.7259151923399136e-12,1.068645243792266e-11,9.173182056820507e-10,6.21741432475654e-10,2.2225064123856906e-10,1.9638491227081532e-11,1.895759632782721e-08,1.7093256721323406e-09,1.4594021736225015e-09,2.4071549639364517e-11,4.301978753112698e-10
5,2.606957250826e-10,1.3314245620839798e-10,6.185083849512376e-10,5.121116225319648e-10,2.160985736576321e-09,4.910440470686037e-10,3.8681888297127735e-09,8.281373039105145e-12,6.216455974021035e-11,7.118046116769587e-09,1.0266104452929601e-09,1.7516059217889797e-10,5.320906765978899e-11,4.162868022178252e-09,2.690869386496287e-09,2.5731228531711888e-11,3.6023883546450746e-12,6.486892126639786e-10,5.575403975132624e-10,3.22073858149822e-10,1.9525620986610857e-09,1.1125161361881827e-11,1.5646445461581833e-09,6.670727755513713e-09
