,0
0,1033.7633561853704
1,1033.6603252295852
2,1033.6166961161646
3,1033.5951694828077
4,1033.5577676346502
5,1033.4833848999754
6,1033.4075713389095
7,1033.390381326551
8,1033.106515917806
9,1032.9865221565133
10,1031.7416949776311
11,1031.7285821008606
12,1031.5043174173866
13,1031.4958950230287
14,1031.4674560831152
15,1031.0846567278534
16,1031.0583051330118
17,1031.0693824097502
18,1030.242589162072
19,1030.2574058335556
20,1029.732699712611
21,1029.1525841316254
22,1029.0059372934627
23,1028.6688403766584
24,1028.5856266376727
25,1028.4124370160562
26,1027.3570790755005
27,1027.3034805293062
28,1026.6525522567872
29,1026.204510678687
30,1025.1763068170362
31,1025.1913371830374
32,1025.014448161629
33,1024.7539632292962
34,1024.5270732817414
35,1023.6563367698659
36,1018.7707065170428
37,1018.3471784655285
38,1015.8478315503185
39,1015.7677315264958
40,1015.0219542708285
41,1014.7750316000779
42,1014.667557276692
43,1012.7410083904053
44,1012.3605038080127
45,1011.0535142697864
46,1010.3810419701033
47,1009.5798687178124
48,1008.741393610018
49,1007.8799336590143
50,1007.8225349173696
51,1005.519390058218
52,1005.1706097894979
53,1003.4040806370654
54,1002.8709531270438
55,999.4768377318851
56,997.5355739772943
57,997.5054794226718
58,997.4517278945004
59,996.8673958244863
60,996.127393553454
61,995.9222454871793
62,989.0650590337685
63,988.0227089092051
64,987.319215093011
65,985.7922375238603
66,983.084725394851
67,981.9493803711499
68,980.7680545366463
69,980.7557394709363
70,980.3963014999058
71,980.2382055613987
72,976.5822862405898
73,974.0076681376162
74,973.7259430981358
75,973.5628974582464
76,973.4335356947056
77,962.676457075129
78,962.2763108712198
79,961.2901814941056
80,960.5435571581878
81,958.2952890675538
82,956.9825162228992
83,956.7768279957685
84,955.0686148816455
85,954.6386906489784
86,953.9065132529452
87,952.6858296903582
88,950.8011811133518
89,949.7699656063583
90,949.3480270363416
91,948.3507630108396
92,947.9771701380904
93,947.3500191423863
94,946.9533814248291
95,946.9708452763691
96,946.6134283701276
97,946.3587298930008
98,944.3028342522223
99,944.2599659694646
100,941.3370226081063
101,940.3763458078453
102,939.7444779964534
103,939.458520011119
104,939.338339073682
105,938.603104223858
106,935.785936153538
107,935.7844759190348
108,935.6846561251848
109,934.8024274552607
110,934.3131918248868
111,934.3341035053895
112,933.1581651394295
113,928.9500497848466
114,928.3866442522151
115,926.7821577917159
116,926.7280751341411
117,922.4337717996867
118,917.9430939857167
119,917.5769644191353
120,915.9552270147655
121,915.9261038535374
122,911.7811870926072
123,911.7762000787166
124,910.6276280098953
125,909.3720220327116
126,908.4111447034453
127,907.7677589775869
128,905.9756044641083
129,903.6638919512701
130,903.4548557887117
131,902.7143170612521
132,902.2564473810213
133,902.1179764116177
134,900.4508095636503
135,898.00879059114
136,896.3159197457554
137,896.1754717350744
138,893.553149129071
139,892.7414388877681
140,892.606577572627
141,892.6045630929788
142,891.2326988469487
143,891.0630171417629
144,890.4964422948391
145,886.9644286367212
146,886.3510868338872
147,886.3074042097361
148,884.293543269243
149,883.8627390458529
150,883.3825453984309
151,881.7300076528282
152,880.845045469705
153,880.0020070292588
154,875.1274382761219
155,870.1686965836744
156,869.0750165636166
157,868.3860369608414
158,868.2369598935963
159,867.3336205399689
160,867.162843500195
161,866.1829970095748
162,865.2633130449349
163,865.2624933516539
164,863.4647284034965
165,863.260036536729
166,861.7255294884619
167,861.6830578530878
168,859.9967462876292
169,859.0649765384901
170,856.8823793936941
171,856.3714713409482
172,855.3593266596957
173,855.3588997416656
174,850.9821935774739
175,850.8249620449176
176,850.7722269982437
177,849.4484016192705
178,849.3351264581803
179,849.1254872429638
180,848.5127982099976
181,848.4411178440108
182,847.8958301080103
183,846.8349477311044
184,839.3064341680532
185,838.7289280798634
186,838.4989372897321
187,837.7117457632135
188,836.1937837199697
189,834.2636065075542
190,830.4771948635132
191,826.5265865659792
192,824.5953939293152
193,824.5365667775023
194,823.0767080105713
195,822.4766439775808
196,822.4422592396173
197,822.0099443834636
198,815.5746595738916
199,815.0918689808619
200,814.2449768388304
201,814.0088608211092
202,812.4046636060656
203,809.3110104523544
204,808.8339238815448
205,808.7596375308601
206,808.0995804246364
207,807.428398635451
208,803.0820002860611
209,800.6971316162554
210,799.9164483039712
211,796.8673813810674
212,789.0823789008808
213,787.2329530569153
214,784.8932972187533
215,779.8287425023225
216,778.7406699409489
217,776.0508051867131
218,774.8001069461798
219,774.1516480861786
220,773.6393301301681
221,771.8844064905529
222,769.1279619568135
223,767.7613007982035
224,767.5440613155185
225,757.6740801389623
226,757.4914254538195
227,747.3989082000663
228,745.229182140812
229,744.0988152556471
230,740.0760498889049
231,738.6837501171511
232,737.6109335239631
233,737.5106315984423
234,735.4500320382973
235,733.7200257540231
236,733.5523140288544
237,733.0030684009967
238,732.689920129332
239,732.3413129744056
240,732.3107322299979
241,730.2629267988037
242,720.8510858698643
243,720.7479244281889
244,720.0486491457611
245,719.7618383711849
246,713.3966899875951
247,711.244654186883
248,710.2127206164068
249,708.6569389167303
250,708.5574907472026
251,706.4605096451739
252,705.153587389015
253,702.3999321373034
254,701.6776567424216
255,699.8026944505968
256,697.3424635651319
257,693.9211595926378
258,692.9968702217183
259,691.9589690967944
260,691.409304290833
261,688.9054527557524
262,688.234385591556
263,687.19445359232
264,682.8219182750801
265,682.0779239285156
266,679.8563905131688
267,677.0990172241897
268,676.955178414018
269,671.2771360071488
270,666.7738394140162
271,664.8386609273379
272,664.8384489926488
273,663.3418528187636
274,661.3250494552956
275,660.8214170682123
276,659.1120095559024
277,656.041960854812
278,654.0379406875734
279,651.3437645674016
280,650.5783110176992
281,643.6804599130367
282,643.0912594689943
283,641.9244858065249
284,638.3225198966062
285,635.5319056726814
286,634.2472958298257
287,631.6745401937452
288,623.7081599518465
289,622.066365255706
290,621.6672051016545
291,619.8709902218175
292,616.2549552422511
293,615.4743781987527
294,612.8419686942478
295,612.2406703823167
296,609.6043098220721
297,605.3488121853742
298,605.272370018454
299,605.1575915650145
300,604.5391894552067
301,604.3809659667508
302,604.0436657994333
303,602.9179049773901
304,602.0166676323274
305,600.9954302452065
306,599.1743814427728
307,593.9026881752362
308,591.9903660591684
309,590.5699954534807
310,588.4291304687297
311,588.1252238590146
312,585.7772069946197
313,584.8890891887149
314,584.6558769964922
315,583.7721998855727
316,581.1096606297792
317,581.1089207483942
318,575.4998165991556
319,575.4790783379216
320,575.4202578737071
321,572.578162673414
322,572.3353049538516
323,571.1466390722378
324,570.1386230618012
325,569.9382189948492
326,565.7947548392025
327,555.9786105946408
328,554.7981749004352
329,554.4004562678601
330,551.1668037689043
331,550.3575529593745
332,541.6127356237843
333,540.3087933661488
334,540.2644683078919
335,538.4135001762356
336,538.3166056413727
337,535.7098349152577
338,535.4282979335427
339,535.3969706571127
340,535.2372197470756
341,534.3087769420948
